id,name,lon,lat
SN264800,VAXJO,14.8325,56.8463888888889
SN83300,STEIGEN,15.1123,67.923
SN85480,E10 GIMSØYSTRAUMEN BRU,14.2498,68.2628
SN97350,CUOVDDATMOHKKI,24.4312,69.3695
SN1227200,OLSZTYN,20.4227777777778,53.7711111111111
SN88100,BONES I BARDU,18.2442,68.6457
SN310000,TIREE,-6.88277777777778,56.5
SN57150,E39 HALBRENDSLIA,5.8222,61.4413
SN34370,E18 FARSJØ,9.3323,58.9397
SN713000,RENNES-SAINT JACQUES,-1.73388888888889,48.0688888888889
SN34810,TØRDAL - KLEPPE,8.7345,59.1707
SN73550,GARTLAND,12.3837,64.531
SN88623,STEINFJORD,17.35,69.4625
SN27435,NØTTERØY - VESTSKOGEN,10.4023,59.2417
SN19405,BÆRUM - STORØYA,10.608,59.8909
SN307500,WICK AIRPORT,-3.09,58.4538888888889
SN67270,E6 SOKNEDAL,10.2373,62.983
SN27785,E18 RØDBØL,10.1062,59.107
SN27130,FV310 KOTTERUD,10.4217,59.432
SN202000,KATTERJAKK,18.1713888888889,68.4211111111111
SN96850,TANA BRU,28.159,70.2122
SN57365,E39 VASSENDEN,6.1298,61.5027
SN13125,E6 TINGBERG,10.2868,61.2865
SN763000,TOULOUSE BLAGNAC,1.37888888888889,43.6211111111111
SN2202800,TERIBERKA,35.1069444444444,69.2022222222222
SN96931,POLMAK TOLLSTED,28.0012,70.0733
SN46150,SAND I RYFYLKE II,6.276,59.4791
SN8720,ATNSJØEN,10.1398,61.8902
SN68230,TRONDHEIM - RISVOLLAN,10.4228,63.3987
SN29400,SANDHAUG,7.4805,60.1833
SN261600,FALSTERBO,12.8194444444444,55.3838888888889
SN30270,PORSGRUNN - KJØLNES,9.6663,59.1405
SN80880,SANDHORNØYA - VÅTVIKFJELLET,14.1663,67.093
SN70850,SNÅSA - KJEVLIA,12.4692,64.1587
SN91530,GAMANJUNNI,20.5787,69.4818
SN802700,SAN SEBASTIAN/IGUELDO,-2.04111111111111,43.3063888888889
SN228790,VÄNNÄS D,19.8144,63.9226
SN253920,KÄLLSJÖ,12.7042,57.2323
SN42490,FV42 HADDELANDSHEIA,7.0787,58.5047
SN284900,SALLA KK MYLLYTIE,28.6741666666667,66.8341666666667
SN283500,INARI NELLIM,28.2994444444444,68.8491666666667
SN48070,E39 STORDABRUA,5.4025,59.7465
SN206405,SAITTAROVA D,22.2433,67.3345
SN256540,OSKARSHAMN,16.4149,57.2674
SN19710,ASKER,10.4358,59.8558
SN232980,LOBONÄS D,15.3444,61.5338
SN69190,RV705 SELBUSKOGEN,11.0887,63.338
SN1650,STRØMSFOSS SLUSE,11.6599,59.3006
SN297900,KOKAR BOGSKAR,20.3555555555556,59.5055555555556
SN702700,CAEN-CARPIQUET,-0.456111111111111,49.18
SN240830,BENGTSFORS D,12.2326,59.0459
SN43010,EIK - HOVE,6.5045,58.507
SN262910,MARKARYD,13.6191,56.4595
SN89233,FV86 ANDSVANNET,18.2972,69.0917
SN228700,HOLMON,20.8644444444444,63.8069444444444
SN81930,STORSTILLA,15.973,67.0129
SN252000,SATENAS,12.7138888888889,58.4288888888889
SN6003000,LAS PALMAS DE GRAN CANARIA/GANDO,-15.3894444444444,27.9225
SN91180,LENANGSSTRAUMEN,20.1387,69.8915
SN15951,RV15 BREIDALEN II,7.3927,62.0107
SN16265,E6 ROSTEN,9.4153,61.8783
SN48061,FV542 BREMNES,5.1872,59.7973
SN297200,TURKU AIRPORT,22.2791666666667,60.5155555555556
SN2280200,SORTAVALA,30.7166666666667,61.7166666666667
SN9303,E6 HJERKINN,9.5317,62.2318
SN1300,FV220 HOLENE BRU,11.4468,59.24
SN201300,RITSEM,17.4712,67.727
SN626000,DE BILT AWS,5.17972222222222,52.0988888888889
SN3480,E18 MELLEBY,11.4535,59.546
SN1054800,MEININGEN,10.377062,50.561752
SN91727,ARNØYHAMN,20.6315,70.0537
SN26780,SOLBERGELVA - OLLEVEIEN,10.0582,59.7655
SN647900,KLEINE BROGEL,5.46277777777778,51.1688888888889
SN251300,GOTEBORG,11.9925,57.7155555555556
SN857500,BRAGANCA (8575-0),-6.74277777777778,41.8038888888889
SN44580,STAVANGER - MADLA,5.6697,58.9482
SN4781,GARDERMOEN SØR,11.0743,60.1883
SN59680,ØRSTA-VOLDA LUFTHAMN,6.078056927162791,62.180413205637954
SN45675,RV13 ÅRDAL,6.1737,59.1497
SN209590,TÄRENDÖ D,22.6287,67.1661
SN1724000,ISPARTA,30.567912,37.784833
SN78350,BARDAL,13.3917,66.2178
SN39520,RV9 MOISUND,7.7772,58.4909
SN374600,BOSCOMBE DOWN,-1.75472222222222,51.1616666666667
SN41090,MANDAL III,7.4517,58.0247
SN280100,ENONTEKIO KILPISJARVI,20.7911111111111,69.0494444444444
SN3005,E6 INGEDAL,11.2075,59.1778
SN211905,KVIKKJOKK-ÅRRENJARKA,18.0226,66.8834
SN99380,KIRKENES LUFTHAVN - HØYDE 212,29.8695,69.71
SN60640,VALLDAL - MURI,7.2525,62.297
SN92750,HASVIK LUFTHAVN,22.1457,70.4865
SN1031500,MUENSTER/OSNABRUECK,7.69694444444444,52.1344444444444
SN1250000,JELENIA GORA,15.7888888888889,50.9002777777778
SN44562,ULLANDHAUG,5.69005,58.93355
SN23550,BEITOSTØLEN II,8.9228,61.2508
SN86290,GIMSØY - ÅRRSTRANDA,14.113,68.3052
SN26852,DRAMMEN - BRAGERNES SKOLE,10.2258,59.7487
SN53480,KLEVAVATNET,7.2085,60.7192
SN46850,HUNDSEID I VIKEDAL,5.9948,59.5553
SN30288,SKIEN - KJØRBEKKSVINGEN,9.6297,59.1768
SN30261,PORSGRUNN,9.6385,59.1353
SN226520,BREDBYN D,18.0717,63.4612
SN218490,SKRÖVEN D,21.8444,66.7757
SN3300800,BREST,23.6858,52.1167
SN76780,SANDNESSJØEN - ÅSEN,12.612,66.014
SN32540,RV36 ULEFOSS,9.2802,59.2728
SN88650,SENJA - BOTNHAMN,17.8708,69.5015
SN25165,RV52 HEMSEDALSFJELLET,8.1557,60.9757
SN12210,ARSTADTAJET,11.1333,60.767
SN32890,HØYDALSMO II,8.1992,59.497
SN60945,ÅLESUND IV,6.2108,62.4703
SN69100,VÆRNES,10.9305,63.4597
SN292400,AHTARI MYLLYMAKI,24.2172222222222,62.535
SN210200,STEKENJOKK,14.5086111111111,65.0944444444444
SN68840,STUGUDAL - KÅSEN,11.8626,62.89515
SN24600,GRIMELI I KRØDSHERAD,9.5958,60.137
SN60810,LEBERGSFJELLET,6.8717,62.5158
SN99990,TROLL I ANTARKTIS,2.5408,-72.012
SN37600,FV355 VEUM,8.0895,59.2842
SN266400,RONNEBY-BREDAKRA,15.2680555555556,56.2669444444444
SN53160,JORDALEN - NÅSEN,6.7243,60.9004
SN30282,SKIEN - RØDMYRLIA,9.6017,59.1702
SN29600,TUNHOVD,8.7511,60.4629
SN631000,VLISSINGEN AWS,3.59583333333333,51.4413888888889
SN18170,OSLO - ØSTENSJØ,10.8368,59.8955
SN11450,MINNESUND JERNBANESTASJON,11.2302,60.3943
SN29950,SVENNER FYR,10.148,58.9688
SN67560,KOTSØY,10.5608,62.9763
SN70960,E6 SNÅSA,12.341,64.3333
SN59530,FV61 KVILEHYTTA,5.538,62.0163
SN244000,AMOT,16.4311111111111,60.9622222222222
SN271400,VAALA PELSO,26.4402777777778,64.5013888888889
SN1077600,REGENSBURG,12.1019444444444,49.0422222222222
SN34095,E18 STOKKEBAKKEN,9.6068,58.9817
SN1711200,CANAKKALE,26.4,40.1333333333333
SN61064,VESTNES - RÅDHUSET,7.0903,62.6213
SN203600,NIKKALUOKTA,19.0255555555556,67.8541666666667
SN808400,LOGRONO/AGONCILLO,-2.33111111111111,42.4522222222222
SN1642000,MESSINA,15.5488888888889,38.1997222222222
SN26810,HOKKSUND - LOE,9.9155,59.7688
SN1255000,CZESTOCHOWA,19.0925,50.8125
SN30246,E18 PAULER,9.9418,59.0645
SN88626,SENJAHOPEN,17.4833,69.5
SN644700,UCCLE,4.35805555555556,50.7969444444444
SN67210,E6 HORG,10.255,63.1385
SN81915,SULITJELMA - FAGERLI,16.0797,67.1195
SN32220,LIFJELL - ØYSTEINNATTEN,8.9837,59.5022
SN75410,NORDØYAN FYR,10.5493,64.7977
SN27770,STOKKE - SOLLI,10.2022,59.2752
SN18215,OSLO - BROBEKK,10.8315,59.9323
SN90510,TROMSDALEN,19.0065,69.6508
SN48450,HUSNES,5.7694553,59.8641203
SN1523500,FAGARAS,24.9352777777778,45.8363888888889
SN241820,KRISTINEHAMN,14.1019,59.3107
SN40420,BYKLE - KULTRAN,7.3438,59.3505
SN1009100,ARKONA,13.4341666666667,54.6791666666667
SN88500,GRYLLEFJORD,17.0513,69.3627
SN79600,MO I RANA LUFTHAVN,14.3015,66.3643
SN82220,RV80 HUNSTAD,14.5173,67.2783
SN822100,MADRID/BARAJAS,-3.55555555555556,40.4666666666667
SN1223500,CHOJNICE,17.5325,53.7152777777778
SN248190,VÄSTERÅS,16.6034,59.5977
SN41990,E39 VATLAND,6.9238,58.2205
SN94870,OLDERFJORD,25.0767,70.4718
SN27330,TØNSBERG - TARANRØD,10.2983,59.2938
SN49087,FOLGEFONNA SKISENTER TOPP,6.4298,60.2178
SN27420,TJØME,10.398,59.1205
SN57000,FØRDE LH - BRINGELAND,5.76,61.391
SN258400,GOTSKA SANDON,19.2,58.4
SN47445,E39 SVEIO,5.4848,59.625
SN68125,SVERRESBORG,10.3498,63.4223
SN86598,STOKMARKNES LH - VEST,15.0147,68.5813
SN98360,BÅTSFJORD - STRAUMSNESAKSLA,29.7,70.6028
SN13110,E6 FÅBERG,10.4107,61.1697
SN11710,EINAVATN,10.6408,60.59505
SN1624200,ROMA/FIUMICINO,12.2388888888889,41.8002777777778
SN294700,MIKKELI AIRPORT,27.2022222222222,61.6886111111111
SN261845,HALMSTAD,12.9242,56.6737
SN28380,KONGSBERG BRANNSTASJON,9.6377,59.6247
SN47194,SKUDENES UNGDOMSSKOLE,5.253,59.1535
SN298100,PARAINEN UTO,21.3677777777778,59.7841666666667
SN718000,NANCY-ESSEY,6.22138888888889,48.6877777777778
SN222100,KORSVATTNET,13.5038888888889,63.8397222222222
SN30255,PORSGRUNN - ÅS,9.6603,59.0872
SN220700,STORLIEN-STORVALLEN A,12.1219444444444,63.2827777777778
SN1196800,KOSICE,21.2166666666667,48.6666666666667
SN55430,JOSTEDALEN - MJØLVERSGRENDI,7.2762,61.6595
SN30650,NOTODDEN LUFTHAVN,9.2111,59.5666
SN38150,E18 INNTJORHEIA,8.462,58.2968
SN17820,E6 NØSTVET,10.832,59.7718
SN261800,TORUP,13.0602777777778,56.9494444444444
SN91380,SKIBOTN II,20.2823,69.3875
SN18233,OSLO - NYLAND,10.864,59.9452
SN44520,HELLAND I GJESDAL,6.0135,58.755
SN46090,RV13 EIANE,6.2927,59.2942
SN245615,FILMS KYRKBY,17.9078,60.2363
SN1542000,BUCURESTI BANEASA,26.0780555555556,44.5105555555556
SN44610,KVITSØY - NORDBØ,5.4122,59.0705
SN55735,RV5 FRUDALEN,6.8745,61.3473
SN17775,FAGERSTRAND,10.5886,59.7377
SN64330,KRISTIANSUND LUFTHAVN,7.8158,63.1093
SN39200,KRISTIANSAND - KVADRATUREN,7.9968,58.1457
SN262500,SKILLINGE,14.3172222222222,55.4888888888889
SN57700,RV5 GROV,5.3312,61.6137
SN71750,BREIVOLL,10.4055,63.918
SN31520,GROSET,8.315,59.8358
SN63630,TROLLHEIMEN - STORHORNET,9.392,62.6352
SN24890,NESBYEN - TODOKK,9.1323,60.567
SN1615300,CAPO MELE,8.16972222222222,43.9572222222222
SN82130,RV80 NORDVIKA,15.162,67.3312
SN275500,YLIVIESKA AIRFIELD,24.7247222222222,64.0502777777778
SN77034,FAUSKANE,5.726357,62.566785
SN51940,E16 VINJE VEST,6.4997,60.7855
SN618000,KOEBENHAVNS LUFTHAVN,12.6452777777778,55.6141666666667
SN40510,BLÅSJØ,6.8817,59.3335
SN202900,TARFALA,18.6072222222222,67.9113888888889
SN91120,LYNGEN - GJERDELVDALEN,20.15185,69.5599107
SN64590,FV65 ØVRE RINDAL,9.4367,63.097
SN1674900,RHODES (AIRPORT),28.0880555555556,36.4019444444444
SN12960,SJUSJØEN - STORÅSEN,10.7088,61.1638
SN280500,UTSJOKI KEVO,27.0066666666667,69.7563888888889
SN50570,SKREDDERDALEN,5.3358,60.404
SN214710,MALÅ,18.7431,65.1808
SN54320,BORGUND - LO,7.818,61.0583
SN64970,FV65 NORDMARKA I SURNADAL,8.6638,63.0075
SN3352600,Ivano-Frankivsk,24.6891666666667,48.8891666666667
SN76965,OSEBERG C,2.7757,60.6083
SN99700,BJØRNØYA RADIOSONDESTASJON,18.9977,74.5033
SN1151800,PRAHA/RUZYNE,14.2555555555556,50.1002777777778
SN31855,E134 AMBJØRNDALEN,8.585,59.5873
SN17850,ÅS,10.7818,59.6605
SN57030,FV609 HOLMEDAL VEST,5.1728,61.3592
SN91060,SJURSNES,19.7092,69.6017
SN27261,TØNSBERG - VALLØ,10.4985,59.2625
SN245600,FILM,17.9044444444444,60.2358333333333
SN37570,BORSÆ,7.829,59.38
SN242370,ÖSTMARK-ÅSARNA,12.8538,60.2788
SN211040,HEMAVAN D,15.0885,65.8224
SN32061,GVARV - NES BIOFORSK,9.2118,59.3822
SN90360,E8 SANDVIKEIDET,19.0087,69.5463
SN4455,RV4 ÅNEBY,10.8467,60.1107
SN601100,TORSHAVN,-6.76472222222222,62.0230555555556
SN27010,KONNERUD,10.146,59.713
SN65275,E39 HEMNEKJØLEN,9.3853,63.228
SN57990,GJENGEDAL,5.9468,61.6594
SN76929,YME,4.5345,57.8188
SN203100,RENSJON,19.8394444444444,68.0747222222222
SN59210,RV 15 MÅLØYBRUA,5.1213,61.9292
SN50310,KVAMSKOGEN - JONSHØGDI,5.964,60.3887
SN76938,ULA,2.8458,57.408
SN85040,ROTVÆR,15.943,68.368
SN51530,VOSSEVANGEN,6.4265,60.6252
SN16845,E136 LORA,8.6903,62.147
SN12700,LILLEHAMMER - VÅRSÆTERGRENDA,10.5112,61.104
SN26750,FV35 HEMSDALEN HOF,10.0597,59.5702
SN58860,TROLLEDALSEGGA,6.1065,61.8902
SN79253,E12 UMBUKTA,14.5837,66.1657
SN50175,AUSTEVOLL,5.2038,60.0167
SN50830,E16 INDRE ARNA,5.461,60.4213
SN3190,SARPSBORG,11.1128,59.2852
SN50525,RV555 SOTRABRUA,5.1555,60.372
SN224740,BORGVATTNET D,15.8283,63.4248
SN43895,FV44 KVASSHEIM,5.6815,58.5505
SN45770,HJELMELAND,6.1498,59.23
