id,name,countryCode,masl,lon,lat
SN401800,KEFLAVIKURFLUGVOLLUR,IS,47.0,-22.58758,63.97468
SN47610,BASURA,NO,568.0,6.0873,59.6357
SN79720,LAPPSÆTRA,NO,550.0,14.8892,66.2785
SN8780,LI BRU,NO,750.0,10.0002444,62.0099727
SN12180,ILSENG,NO,182.0,11.2028,60.8028
SN68290,SELBU II,NO,160.0,11.0075,63.2248
SN729200,LUXEUIL,FR,270.0,6.36444444444444,47.7869444444444
SN212620,BLAIKEN D,SE,350.0,16.857,65.2511
SN90495,STAKKEVOLLAN,NO,80.0,18.982,69.6942
SN33300,HONNEGRASNUTEN,NO,1340.0,7.8173,59.7675
SN99754,HORNSUND,SJ,10.0,15.5353,77.0002
SN60242,ÅKNESSKARET,NO,1147.0,6.9869,62.1883
SN66630,FV700 VOLL,NO,220.0,9.8413,62.8763
SN27800,HEDRUM,NO,31.0,9.9641,59.196
SN18245,OSLO - AMMERUD,NO,201.0,10.8737,59.9652
SN77280,LAKSFORS,NO,50.0,13.2892,65.6215
SN76939,VALHALL A,NO,95.0,3.3928,56.2781
SN27540,SANDEFJORD - GJEKSTAD,NO,10.0,10.2558,59.1312
SN56250,E39 ÅBERGSDALEN,NO,140.0,5.827,61.2922
SN19510,ØVREVOLL,NO,123.0,10.6227,59.94046
SN76957,TROLL B,NO,,3.501,60.7735
SN26894,DRAMMEN - GULSKOGEN,NO,30.0,10.1672,59.7413
SN55290,SOGNEFJELLHYTTA,NO,1413.0,7.9957,61.5648
SN296300,JOKIOINEN OBSERVATORY,FI,104.0,23.4975,60.8138888888889
SN60870,SULA - LANGEVÅG,NO,20.0,6.1922,62.4402
SN50526,RV555 SOTRABRUA VIND,NO,50.0,5.1738,60.3725
SN3317700,Volodymyr-Volynskyi,UA,194.0,24.3436111111111,50.8330555555556
SN19932,GLITREVANN,NO,360.0,10.065,59.8562
SN39212,E39 FIDJANE,NO,80.0,7.9397,58.1412
SN26230,FV287 SANDSBRÅTEN,NO,108.0,9.5908,60.041
SN2210100,YANISKOSKI,RU,98.0,28.7811111111111,68.9705555555555
SN27450,MELSOM,NO,26.0,10.345751,59.229738
SN76930,NORNE,NO,33.0,8.085,66.0256
SN251800,NIDINGEN,SE,2.0,11.9063888888889,57.3038888888889
SN98265,FV890 GEDNJE,NO,225.0,29.0918,70.5292
